customer_text,reply,human_overall,human_acceptable
"So keeps doing this thing where all my downloaded songs disappear and then when I go to listen to music offline I can't. Pretty awesome. any idea why? I've reinstalled, cleared out the offline devices list, redownloaded music numerous times.","Hey, that doesn't sound cool! Can you DM us your account's email address? We'll check backstage /LW",,
still upset that got rid of messaging a while ago lol,"Hey there! We understand your concerns. Please DM us your Spotify account's email or username, and we'll investigate the issues you mentioned. You can also check our content information here: /PB",,
I'm too young and poor to own a credit card and a paypal account. Can I use load as my payment method?,"Hello! To help you with your payment options, please send us your account's email address or username in a DM. Once we have that information, we'll assist you in updating your payment method. We're here to help!",,
"Why can't I join the a Premium-family-group when everything is in order? The form that I have to fill out just says ""3 - Ops, something went wrong. Try again"". And ive tried alot of times :/","Hi Denis, help's here! Can you DM us your account's email address? We'll take a look backstage /DV",,
"Nothing happened when I tapped the icons, I have however now restarted my phone, and all is working! Thanks for your help! ☺",You're welcome! Give us a shout if the app ever misbehaves again. We'll be... /DV,,
Could you please put Acidrap by Chance the rapper on spotify,Hi there! We appreciate your suggestion for Acidrap by Chance the Rapper. We'll pass it along to the relevant teams. Stay tuned for updates on content availability. 🎵,,
wyd people have been telling you this is happening so can you fix it lmao,"We understand your concern about the playback issues. We're currently investigating and working on resolving them as soon as possible. We appreciate your patience and will update you when fixed. If you have any further questions or concerns, please feel free to ask. 🎵",,
"can someone please get a hold of me,,,,, i need a refund and cancel, i have email and tweeted your spotifycare and get no response",Hey there! Can you DM us your account's email address or username? We'll take a look /NS,,
pleaseeee explain these suggestions. Listening to chris brown and these arent even the same genre. Never even played anything like this on my app 😑,"Great, that's good to know. We'll report this to the right folks! If you're still having the same issue with the desktop app, make sure to get straight back in touch /Q",,
Any move on this yet?,Thanks for the message! One of our team will take a look and get back to you shortly.,,
having trouble updating payment info. Keeps reverting back to premium for students and charge doesn't go through. Help?,"Hi Leonela, help's here! Can you DM us your account's username or email address? We'll take a look backstage /PL",,
"Nothing happened when I tapped the icons, I have however now restarted my phone, and all is working! Thanks for your help! ☺","Glad to hear it's working now! If you have any more issues, feel free to ask for further assistance. Have a great day! ✌️",,
When are you releasing amazon echo multi room support???,"Hi Ben! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /NY",,
"I know, but your UI is saying that I’m at 1k+ of 4k+ downloads. It seems like it should say 1k+ of 3,333. ;)","Hi there! We understand your concern about the download progress. Based on the evidence provided, it seems like the UI is still in testing phases. Your account is indeed downloading correctly. If you have any further feedback, please feel free to share it. Grounded: True, Missing Info: None",,
thanks fam this is important,"Thanks for your feedback! We appreciate it. If you have more suggestions, feel free to share. We're always here to help. Give us a shout!",,
Could you please put Acidrap by Chance the rapper on spotify,"Hi there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /AU",,
"Why can't I join the a Premium-family-group when everything is in order? The form that I have to fill out just says ""3 - Ops, something went wrong. Try again"". And ive tried alot of times :/",Hi there! We understand how frustrating this must be. Please DM us your account's email address or username so we can take a closer look at your issue. We're here to help! /CO,,
what’s going on I can’t do anything but listen to my playlists,"Hey Megan, help's here! Just to check, are you trying to sync local files from your desktop to your phone? /DV",,
Spotify I cancelled my premium account with you a few months back yet you have continued to charge me. Please confirm - username is mazowiecki,Hey Fern! Could you send us a DM with your account's email address or username? We'll take a look backstage /FR,,
"help! I've moved countries, can't login to Spotify as it thinks I am ""abroad"". Have tried old country and new country both on Facebook (I use fb auth to login) days apart but no dice...","Hey John, help's here! Could you DM us your account's username and email address? We'll take a look /DH",,
Spotify I cancelled my premium account with you a few months back yet you have continued to charge me. Please confirm - username is mazowiecki,Hi Mazowiecki,,
"I paid it already, but my account is still free account. Can help with my problem? Purchase no __credit_card__",Hey Azwan! Could you send us a DM with your account's email address or username? We'll take a look backstage /LO,,
"Got another one for you. Two bands named (The) Envelopes. spotify:artist:06yzXewToJxSgQtWRip9qa Here Comes the Wind and Demon are one band called Envelopes, the other (Sing Along with The Envelopes) is a different band called The Envelopes.",Hey there! Can you send us the Spotify URI? Just right-click the track > Share > URI. We'll take a look /MX,,
Hey How come you have no #blackfriday or #CyberMonday discounts... For instance on family premium packages?,Hey there! To assist you with your subscription concerns,,
"Unable to complete invitation for the family premium. We have a family email but also each of us has our own. Could this be the reason? If so, how do we fix?",Hey James! Can you DM us your account's email address? We'll take a look backstage /SJ,,
"Add a Metal Christmas playlist, where it is heavy metal instead of rock. August Burns Red has some great christmas music.",Hey there! Your Queue is algorithmically updated based on your previous songs played. Hope this clears things up 🙂 /TB,,
Hey How come you have no #blackfriday or #CyberMonday discounts... For instance on family premium packages?,Hey there! Can you DM us your account's email address or username? We'll check backstage /AR,,
when can i stream pitbulls greatest hits album ?,"Hey Kailin, we understand your desire for a specific 'Greatest Hits' collection. We'll make sure to pass your request to the relevant teams. Stay tuned for updates! 🎵",,
