thread_id,customer_text,brand_text,ts_customer,len_bucket,time_half,sugg_intent,sugg_action,reference_reply,gold_intent,gold_action,gold_notes
2861217,"ad on instagram stories, for spotify, showing a manson photo and a title suggesting ""cult"" playlists. was too surprised on how low did you go to take a screenshot.","Got it, thanks for alerting us. We'll get this reported to our ad team. Let us know if you encounter the ad again, we'd love a screenshot if possible /TB",2017-11-27 23:07:35+00:00,medium,early,feature_request_or_feedback,escalate,Hey there! Could you DM us your account's username/email address? We'll check behind the scenes /RE,feature_request_or_feedback,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
93867,"iPhone 8plus, iOS 11.1.2, 8.4.28.1104","Thanks. Just to check, is this happening on all your downloaded songs or just your Albums? /XF",2017-11-30 15:42:36+00:00,short,late,other,auto_handle,Thanks! Let's try restarting your iPhone by holding the Sleep/Wake + Volume Down buttons for 10 seconds. Does that help? /BH,other,auto_handle,"PROVISIONAL - auto-filled, not hand-labelled"
2835016,i am confused. Does Spotify still do spotify connect to the selected Denon devices?,"Hey there! As we look to improve the overall Spotify experience, we are removing the app's integration from Denon devices. There's more info here: /JP",2017-11-27 03:05:18+00:00,medium,early,device_or_connect,escalate,Hey Tamara! What's happening exactly? We'd love to help /NG,device_or_connect,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
450057,iPhone 7+. 11.0.2 and spotify is updated,Got it! Can you DM us your account's email address and username? We'll take a look backstage /MX,2017-11-30 20:43:42+00:00,short,late,playback_or_app_bug,escalate,"Thanks! Does logging out and back in help at all? Also, have you tried reinstalling Spotify? Keep us posted /BH",playback_or_app_bug,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
2912451,"Hey, I'm a 2nd Yr student but have been charged the full fee for the last 2months, had not received any reminder to reapply for the student fee... Please can you help me reclaim the additional fees, please??? #frugalliving <3",Hey Deanna! We'll help out. Can you DM us your account's email address? We'll take a look under the hood /AN,2017-11-28 21:02:55+00:00,long,late,billing_subscription,escalate,Anytime! Let us know if you ever need us again. We'd be... /MX,billing_subscription,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
554127,Panic over. Removed & reinstalled app. All sorted. 😅,Hey there! We're glad to hear that everything is sorted. Just give us a shout if you need help with anything else. We're just a tweet away /LM,2017-12-02 19:10:21+00:00,short,late,playback_or_app_bug,escalate,"Thanks for trying to troubleshoot your device. Don't worry, our tech folks are investigating this as we speak. It should be fixed soon! /MA",playback_or_app_bug,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
472535,How do I disable Genius? It wastes limited space in my phone! Please help👋🏼,"Hi Maddy! You can disable it by going to Settings > Playback > Behind the Lyrics. For anything else, just give us a shout /DN",2017-12-01 08:47:23+00:00,short,late,feature_request_or_feedback,escalate,Can you let us know approximately how many songs you have synced for offline listening? You can free up some space by removing some of your downloaded tunes /PB,feature_request_or_feedback,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
497744,Great to hear. You surely ended up not caring about the 800000 of us who have exceeded the #10kSpotifyEpicCollectionLimit though.,Thanks for sharing your thoughts about the 10k limit. We’d also love to hear your feedback on this idea: Our tech folks keep a close eye on all submissions posted on our Community page about this /KB,2017-12-02 21:09:40+00:00,medium,late,feature_request_or_feedback,escalate,"Cool! If you have any other questions, feel free to give us a shout. We'll just be here 🙂 /DR",feature_request_or_feedback,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
653063,"Requesting music through Google Home seems to be broken today. I've tried unlinking the accounts, even going so far as to creating a new account.","Hey Tom, help's here! Could you shoot us a DM with your account's username and email address? We'll do some digging 🔍 /VV",2017-11-22 20:08:50+00:00,medium,early,device_or_connect,auto_handle,Alright. Can you try to update your Google Home settings? Just click here: Let us know how this plays out! /MS,device_or_connect,auto_handle,"PROVISIONAL - auto-filled, not hand-labelled"
2964674,"Hello , please make it possible for us to change a playlist cover on the mobile app. I edit all my covers on my iPhone and it’s always a hassle to then transfer it to my pc to upload it there. Thanks in advance.","Hey Rani, this sounds like a great idea! Suggest it in our Community at and get support from other users /TR",2017-11-29 22:06:43+00:00,long,late,feature_request_or_feedback,escalate,We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /DF,feature_request_or_feedback,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
155380,Wtf upload the damn new Loreen album,"Hey there, we're here to help! Could you let us know what country your Spotify account is set to? We'll take a look backstage /TB",2017-11-24 14:29:19+00:00,short,early,content_availability,auto_handle,"Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /AR",content_availability,auto_handle,"PROVISIONAL - auto-filled, not hand-labelled"
2859100,"it looks like somebody brought this up 5 years ago, but i don't see the feature yet: is it on the road map yet?",Hey Cassie! Rest assured our devs are constantly checking posts and comments in our Community to see which ones can be worked on immediately. We'll be sure to keep everyone updated /AR,2017-11-27 16:58:00+00:00,medium,early,feature_request_or_feedback,auto_handle,"Hmm. Just to check, do you have an alternative device that you can use to access Twitter and your Premium for Family overview page? /KB",feature_request_or_feedback,auto_handle,"PROVISIONAL - auto-filled, not hand-labelled"
44400,"Hey! So I can't renew my acc because it says that my balance isn't enough, the fact's mine's more than enough :(",Can you DM us your account's email address or username? We'll take a look backstage /NQ,2017-11-25 16:23:05+00:00,medium,early,billing_subscription,escalate,"Thanks for confirming. Our best tech folks are on the case as we speak. Hopefully we'll have a fix soon! In the meantime, let us know if you need help with anything else /GU",billing_subscription,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
2932357,What SONG is in your 2018 goals ad? The one that talks about premium for three months. I NEED TO KNOW!!!!! PLEASE! THE SONG/BEAT SOUNDS TOO GOOD!,Hey there! Can you send us a link to that Spotify ad? We'll be happy to take a look /PL,2017-11-29 03:24:07+00:00,medium,late,content_availability,auto_handle,Hey there! The cavalry's here. Could you fire over your device's make/model and operating system? We'll see what we can suggest /KB,content_availability,auto_handle,"PROVISIONAL - auto-filled, not hand-labelled"
2967115,"Uh : Why does Daft Punk's ""One More Time"" fade out, then go into ""Aerodymanic"" on the album Discovery? ""One More Time"" leads into ""Aerodymanic"".","Hey there! Can you tell us what device, operating system, and Spotify version you're using? We'll check things out /CH",2017-11-29 22:52:11+00:00,medium,late,content_availability,auto_handle,Hi Luis! We've just sent you a bit more info over DM. We'll carry on helping out there /AU,content_availability,auto_handle,"PROVISIONAL - auto-filled, not hand-labelled"
2950153,"Hi, accidentally rolled over premium contract - not used at all yet (rolled over 2 days ago) can I get a refund?",Hey! We've just sent a DM your way. Let's carry on chatting there /CP,2017-11-29 16:56:28+00:00,medium,late,cancel_or_refund,escalate,Thanks for the info. Can you DM us your account's email address or username? We'll take a look backstage /PB,cancel_or_refund,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
2763002,Spotify I cancelled my premium account with you a few months back yet you have continued to charge me. Please confirm - username is mazowiecki,Hi Rohini! We've just sent you a bit more info over DM. We'll carry on helping out there /DD,2017-11-26 13:47:38+00:00,medium,early,cancel_or_refund,escalate,Hey Fern! Could you send us a DM with your account's email address or username? We'll take a look backstage /FR,cancel_or_refund,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
2820827,hi Spotify you've sent this link in an email to me to contact you so I'd thought I'd drop you a line. My premium account has been hacked and your customer service is nothing short of atrocious. I hope your night is going better than mine.,Hi Jason! We’re sorry to hear that. We'd suggest checking out for what to do next /DD,2017-11-26 22:10:10+00:00,long,early,account_access,escalate,Hey there! We've replied to your DM. We'll carry on helping there /JX,account_access,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
1666501,"- my son set up an account and now we want to cancel it, but he can't remember what device it is on (thinks it is an old phone) and we can't figure out his login info. Please dm me.",Hey Megan! Help's here. Can you DM us any email addresses your son may have used for Spotify? We'll take a look backstage /RA,2017-11-26 01:52:00+00:00,long,early,cancel_or_refund,escalate,"Hey Michael, help's arrived. We've just replied to your DM. Let's carry on chatting there /DV",cancel_or_refund,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
2947619,I am having trouble with my subscription. Paying for premium but it's still free. Help!,"Hey April, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG",2017-11-29 15:47:34+00:00,medium,late,billing_subscription,escalate,Hi Chris! We've just sent you a bit more info over DM. We'll carry on helping out there /AU,billing_subscription,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
2830,"Is there something wrong with my spotify? Lol. I tried to register and I have 20 pesos of load. Yet it says ""insufficient"".","Hi there! To get that promo under your preferred rate, you'll need to use a recurring payment method such as a debit/credit card or PayPal at We hope that clears things up /NJ",2017-11-25 10:26:46+00:00,medium,early,billing_subscription,escalate,Hey there! Can you send us a DM with your account's email address or username? We'll take a look backstage /AR,billing_subscription,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
171111,No it doesn't. Have also already performed clean install of spotify.,Thanks for trying that out. Is this also happening on any other devices? Could you check that out for us? /JP,2017-11-24 22:20:00+00:00,short,early,playback_or_app_bug,escalate,"Hey Izzy! We hear you. To help make it happen, we’d recommend showing your support for the idea here: /GU",playback_or_app_bug,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
115273,"but people have Netflix account without living at same address,didn't give me a real reason?","The T&Cs were set in place to make sure only your family members enjoy the Premium features. We don't have any more info on this right now, but we'll let the right team know that adding members in a different address is something you'd like to see /QI",2017-11-23 21:36:19+00:00,medium,early,other,escalate,Hey! Could you send us your account's email address or username via DM? We'll check things out /AY,other,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
474461,Hi! I found an error in the settings on spotify (Italian language) W-ifi instead of Wi-Fi. Bye!,"Hey Lorenzo. Thanks for the heads up! We’ll get this passed onto the right team. Could you DM us the device, operating system, and Spotify version you're using? /L",2017-11-30 19:30:50+00:00,medium,late,feature_request_or_feedback,escalate,Hey Matt! That doesn't sound good. Can you DM us your account's email address or username? We'll see what we can suggest /DD,feature_request_or_feedback,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
653091,"Why can't I join the a Premium-family-group when everything is in order? The form that I have to fill out just says ""3 - Ops, something went wrong. Try again"". And ive tried alot of times :/","Hey Rutta! Can you DM us your account's email address, as well as that of the Family plan owner's? We'll take a look backstage /SY",2017-11-22 20:11:44+00:00,long,early,family_or_duo_plan,auto_handle,"Hi Denis, help's here! Can you DM us your account's email address? We'll take a look backstage /DV",family_or_duo_plan,auto_handle,"PROVISIONAL - auto-filled, not hand-labelled"
700388,why it takes so long to upgrade to premium? Can't load anything and just stuck here since 4 hours ago.,"Hey Firdaus, that doesn't sound right. Can you DM us your account's email address or username? We'll take a look backstage /JE",2017-11-23 15:49:42+00:00,medium,early,billing_subscription,escalate,Hi there! Can you DM us your account's email address? We'll check under the hood and see what we can suggest /NY,billing_subscription,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
500983,Not working in Brasil :/,"Hi Bruno, thanks for bearing with us. Spotify should be working perfectly again! /CE",2017-11-28 21:26:57+00:00,short,late,content_availability,auto_handle,Got it. We have some info about this in the Community at Let us know if you have any other questions /NY,content_availability,auto_handle,"PROVISIONAL - auto-filled, not hand-labelled"
2859035,"I keep trying to change my payment method on my account, and when i hit continue and all it does is spin endlessly. help?",Hey Rachel! Can you DM us your account's username and email address? We'll take a look backstage /SY,2017-11-27 22:13:36+00:00,medium,early,billing_subscription,escalate,"Hi John, help's here! Can you DM us your account's username and email address? We'll help backstage /TY",billing_subscription,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
1384553,The issue was on a new macOS device with a fresh installed Spotify client.,"We hear you! Even so, we'd recommend giving both the desktop player and your mobile device a quick reboot to kick things into gear. Let us know how it goes /TB",2017-11-25 12:11:39+00:00,short,early,playback_or_app_bug,escalate,"Hmm, that's odd! Can you DM us your account's email address and username? We'll take a look backstage /MX",playback_or_app_bug,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
466114,"when im listening to music it states that i can click the thing to get 30 minutes of ad free listening but when i go to click the part that has been there in the past, its not there so i cant do anything. it has done this about three times since i started listening today",That doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /DD,2017-12-01 02:32:38+00:00,long,late,playback_or_app_bug,auto_handle,That doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /FR,playback_or_app_bug,auto_handle,"PROVISIONAL - auto-filled, not hand-labelled"
104105,Why does music play loud but very quickly go quiet on when I use the equaliser on Android?,"Hi Paul! Can you let us know what device, Android and Spotify versions you're using? We'll see what we can do /HR",2017-11-30 16:50:59+00:00,medium,late,playback_or_app_bug,escalate,"Hey Colin, that's not cool! Can you let us know the device/OS and Spotify version you're using? We'll see what we can suggest /AR",playback_or_app_bug,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
2826153,"i watched the video 174892 times, when do i get my 30 minutes of ad free music?","Hey, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /RE",2017-11-27 01:04:40+00:00,short,early,feature_request_or_feedback,auto_handle,That doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /FR,feature_request_or_feedback,auto_handle,"PROVISIONAL - auto-filled, not hand-labelled"
2822717,It doesn’t because you’re basically telling me to buy another device that does what the roku does just to listen to Spotify. Are there any plans on making Spotify work well and not look like trash on Rokus?,"We hear you. We don't have any plans for this at the moment but keep an eye out for any updates. If you need anything else, we'll be right here /VV",2017-11-28 21:24:13+00:00,long,late,device_or_connect,escalate,Hey there! Can you let us know the iOS and Spotify versions you're using? We'll take a look backstage /RS,device_or_connect,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
2879843,"I wasn't able to get that working to get it added to my artist page, but when I searched today it was there, so resolved. But is there generally a delay between playlist creation and its availability in search?","It's normally instant, but there might have been some cache issues that were stopping this. Glad to see it's working now, though! For future questions, you can reach the Artist Support team directly here: /I",2017-11-28 20:15:42+00:00,long,early,feature_request_or_feedback,auto_handle,Hey there! You can change your bio at any time with Spotify for Artists. Check out for more info /Q,feature_request_or_feedback,auto_handle,"PROVISIONAL - auto-filled, not hand-labelled"
2813988,can I still avail the P9.00 premium if I tried the 7-day trial?,Hey there! You should still be eligible for the 3 months for 9.00 PHP offer after getting the 7-day trial. Just head over to this page to sign up: Let us know if you have questions /KB,2017-11-27 01:48:55+00:00,short,early,billing_subscription,escalate,Hi! We've just replied to your DM. Let's carry on there /JE,billing_subscription,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
573209,"my husband started a family premium account. I signed up through his invite but my account still shows free, Help?",Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ,2017-12-03 01:38:43+00:00,medium,late,family_or_duo_plan,escalate,"Hey Robert! Can you DM us the email address of your wife's account, as well as your own? We'll take a look backstage /SY",family_or_duo_plan,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
654646,Is it possible to change your family adress after moving in with someone else?,"Hey, help's here! Could you DM us your username and email address? We'll see what we can suggest /JY",2017-11-22 20:21:54+00:00,short,early,family_or_duo_plan,escalate,Hi Joseph! We're here to help. Can you DM us your account's email address? We'll take a look backstage /DD,family_or_duo_plan,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
2909837,Why aren't my favorite Aaliyah songs on I'm mad 😠,We’ll have them available to you as soon as they're available to us! /VK,2017-11-28 19:29:26+00:00,short,early,content_availability,auto_handle,"Hi Catarina! We'd love to have them on Spotify. Hopefully, we will in the future. We have some more info on content for you here: 🙂 /JI",content_availability,auto_handle,"PROVISIONAL - auto-filled, not hand-labelled"
1034898,when is the hi-fi tier coming?,"Hi Jason! We don't have any info on this right now, but you can show your support for Lossless streaming by voting here: Let us know if you need anything else /NY",2017-11-25 05:49:00+00:00,short,early,feature_request_or_feedback,escalate,Hey! We're launching regularly in countries around the world. Sign up here to be first to hear: /DF,feature_request_or_feedback,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
110046,"Unable to complete invitation for the family premium. We have a family email but also each of us has our own. Could this be the reason? If so, how do we fix?","Hey Cat, help's here! Can you DM us the usernames or email addresses of your account and the members you're trying to invite? We'll take a look under the hood /WP",2017-11-23 16:05:08+00:00,medium,early,family_or_duo_plan,escalate,Hey James! Can you DM us your account's email address? We'll take a look backstage /SJ,family_or_duo_plan,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
568960,"Why is my account suddenly paused just a few days after i redeemed 3 months gift card? I can even see in my account details i redeemed that card, very convenient if you want to play music for your guests","Hi there, that doesn't sound good! Can you DM us your account's email address? We'll check under the hood /AK",2017-12-02 20:11:39+00:00,long,late,account_access,escalate,Can you DM us with your account's username and email address? We'll check it out backstage /WW,account_access,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
446909,"I've reset my password 3 different times today due to it being ""incorrect"", and yet, Spotify won't let me log in. I can't reset my password due to CSRF token being invalid now. What gives?","Hey, help's here! Can you DM us your account's email address along with a screenshot of that error message you're getting everytime you reset your password? We'll look into this further /RR",2017-11-30 19:02:52+00:00,long,late,account_access,escalate,"Hi David! Help's here. Can you DM us your account's username or email address, along with a screenshot of the error message? /MU",account_access,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
515462,"Hi, I just got an email to ""confirm my account,"" saying I'm almost done creating my Spotify account. Only I'm not trying to create an account, I think someone is using my email address.",Hey Matt! Could you send us a DM with your email address? We'll take a look backstage /LO,2017-12-01 22:31:59+00:00,long,late,account_access,escalate,Hey! Can you DM us your account's username or email address? We'll take a look /YM,account_access,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
1698015,All songs keep cutting in and out. Updated app and still happening. Only happening to audio from spotify. Please look into this.,"Hey, help's arrived! Can you tell us what device, operating system, and Spotify version you're using? We'll see what we can suggest /CH",2017-11-25 20:03:18+00:00,medium,early,playback_or_app_bug,escalate,"Can you let us know your device, OS, and Spotify version? Could you also check if this is happening on any other device you log in to? /JP",playback_or_app_bug,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
2821996,Yo I appreciate it. This is a recommendation of a push notification feature for playlist updates.,"We're currently not sending this type of notification, but we're passing on all feedback about this. Rest assured we'll let the team know you'd like to see this feature /AY",2017-11-27 08:01:18+00:00,medium,early,feature_request_or_feedback,escalate,2. playlist: You can also get a Stranger things personalized playlist here: /GU,feature_request_or_feedback,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
781167,"So keeps doing this thing where all my downloaded songs disappear and then when I go to listen to music offline I can't. Pretty awesome. any idea why? I've reinstalled, cleared out the offline devices list, redownloaded music numerous times.","Hi Thom, we're sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at They should help with this. Let us know if you have any questions /NY",2017-11-25 04:42:58+00:00,long,early,playback_or_app_bug,escalate,"Hey, that doesn't sound cool! Can you DM us your account's email address? We'll check backstage /LW",playback_or_app_bug,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
104147,"spotify at first said no internet connection even though I have one. I cleared cache, uninstalled, reinstalled. Now I can't log in. Changed Facebook password, nothing works. Help!","Hey Casper, that doesn't sound right. Can you DM us your account's email address or username? We'll take a look backstage /JE",2017-11-30 17:50:44+00:00,medium,late,account_access,escalate,Hmm. Could you DM us a screenshot of what you're seeing on your end? We'll continue to help there 🙂 /CG,account_access,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
2912386,Thanks now I have to listen to the lawnmower while mowing.,Hey! We're back in business. Time for you to get back to the music: /N,2017-11-28 21:28:51+00:00,short,late,other,auto_handle,"Great. Give us a shout if you need us again, and we'll come running 🏃 /CO",other,auto_handle,"PROVISIONAL - auto-filled, not hand-labelled"
17177,No worries. It was just this that happened.,Whew! Guess that means we're meant to be... 😉 /NH,2017-12-01 17:22:23+00:00,short,late,other,auto_handle,Is this happening to all of your playlists or albums? Can you DM us your account's username or email? We'll check things out for you /YM,other,auto_handle,"PROVISIONAL - auto-filled, not hand-labelled"
2917873,can suck my dick. It never wants to work.,"Hey Ashley! We had a little hiccup backstage, but it should be working now. We're here if you need us /FR",2017-11-28 21:05:32+00:00,short,late,other,escalate,"Hi, help's here! We hope you share your feedback with our community here: Let us know if you need anything else /JQ",other,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
