thread_id,customer_text,brand_text
781167,"So keeps doing this thing where all my downloaded songs disappear and then when I go to listen to music offline I can't. Pretty awesome. any idea why? I've reinstalled, cleared out the offline devices list, redownloaded music numerous times.","Hi Thom, we're sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at They should help with this. Let us know if you have any questions /NY"
559973,"Add a Metal Christmas playlist, where it is heavy metal instead of rock. August Burns Red has some great christmas music.","Hey there, we got you covered! 🤘 /TB"
2951514,"Got another one for you. Two bands named (The) Envelopes. spotify:artist:06yzXewToJxSgQtWRip9qa Here Comes the Wind and Demon are one band called Envelopes, the other (Sing Along with The Envelopes) is a different band called The Envelopes.",Awesome! We've just reported this to our team. Let us know if there's anything else 🎶 /AU
519897,wyd people have been telling you this is happening so can you fix it lmao,Hi there! We've just sent you a bit more info over DM. We'll carry on helping out there /MG
566365,when is the Top Songs of 2017 playlist coming?,"Hey there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /NQ"
128200,pleaseeee explain these suggestions. Listening to chris brown and these arent even the same genre. Never even played anything like this on my app 😑,Hey there! Can you send us a DM with your account's email address or username? We'll take a look backstage /AR
607484,When are you releasing amazon echo multi room support???,"We appreciate you sharing your thoughts on this. Our developers are looking into every popular request including this. If you need help with anything else, we'll just be here /RC"
2862729,Could you please put Acidrap by Chance the rapper on spotify,"Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /RH"
2909851,thanks fam this is important,"You're welcome! If you need us again, just shout 🙂 /K"
2754913,Any move on this yet?,We're afraid we don't have any updates on this. Rest assured that it has been passed on to our Content team. We hope it gets corrected soon /AY
2829790,"can someone please get a hold of me,,,,, i need a refund and cancel, i have email and tweeted your spotifycare and get no response",Hey Lynda! We've just replied to your DM. Let's continue chatting there /GT
2763002,Spotify I cancelled my premium account with you a few months back yet you have continued to charge me. Please confirm - username is mazowiecki,Hi Rohini! We've just sent you a bit more info over DM. We'll carry on helping out there /DD
2948918,Fam why is “Rain On Me” NOT on Chapter II ??,Hey there! We'd love to have all her stuff available but we have some more info about missing content at Let us know if you need anything else 🙂 /KL
2929234,still upset that got rid of messaging a while ago lol,Hey there! Sorry to hear how you feel about this. We have some info about this here: Give us a shout if you have any other questions /CH
506029,when can i stream pitbulls greatest hits album ?,"Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /VK"
2907371,"Nothing happened when I tapped the icons, I have however now restarted my phone, and all is working! Thanks for your help! ☺","Awesome, that's what we like to hear! Just give us a shout if the problem persists. We're... /CO"
567977,"help! I've moved countries, can't login to Spotify as it thinks I am ""abroad"". Have tried old country and new country both on Facebook (I use fb auth to login) days apart but no dice...","Hey Jessica! Don't worry, we can help. Can you DM us your account's email address? We'll take a look under the hood /KB"
2219855,Hey How come you have no #blackfriday or #CyberMonday discounts... For instance on family premium packages?,"Hey! We're taking all the feedback on this. No worries, we'll make sure to pass on your thoughts to the right folks. Give us a shout if you need a hand with anything else. We're just a tweet away /RC"
2917798,what’s going on I can’t do anything but listen to my playlists,Hey Shaun! Everything should be running smoothly now. Let us know if this is still happening /GS
490774,"Unable to access my account after you sent email advising that I change my password. Always gives error message ""CSRF token invalid"". Tried clearing cookies. Can't send you a message via the website because it wants me to log in first. Please advise.","Hey, that's not cool!Could you shoot us a quick DM with your email address and username? We'll take a look under the hood 🔍 /JJ"
452110,misleads you to buy 3 months premium for 9php then charges you 129. No where on the payment page tells you that if you charge it to your phone credits it will charge 129 instead of the 9php as advertised. That's just bad business practice tsk.,Hi! Help's here. Could you DM us your account's email address? We'll take a look backstage /AU
2826926,this is the exact opposite of customer experience 101. 👏🏼Take 👏🏼care 👏🏼of 👏🏼your 👏🏼existing 👏🏼customers 👏🏼this 👏🏼kind 👏🏼of 👏🏼offer 👏🏼would 👏🏼not 👏🏼be 👏🏼possible 👏🏼without 👏🏼them 👏🏼do 👏🏼I 👏🏼make 👏🏼myself 👏🏼clear 👏🏼?👏🏼,"Hey! We appreciate you sharing your thoughts on this. Don't worry, we'll make sure to pass this on to the relevant folks. If you have anything else in mind, we're just a message away /RC"
558601,Please can you help my monthly subscription goes out on the 4th December if I sign up for a year at £99 today will I lose December's payment or should I wait until end December to get yearly offer?,Hey Paul! Can you DM us your account's username or email address? We'll see what we can suggest /TK
529246,"Got an email about paying $99 for one year of Premium, but when I tried to sign up for it, the site tells me I’m not eligible for the discount. What’s up with that?",Hey there! Can you DM us your account's email address or username along with a screenshot of the exact error message? We'll take a look backstage /KM
130882,why have a ton of songs in my library been removed or unsaved?! Is this punishment for talking back to you?!,"Hey there! Just to confirm, are the missing tracks saved or downloaded? /NS"
446909,"I've reset my password 3 different times today due to it being ""incorrect"", and yet, Spotify won't let me log in. I can't reset my password due to CSRF token being invalid now. What gives?","Hey, help's here! Can you DM us your account's email address along with a screenshot of that error message you're getting everytime you reset your password? We'll look into this further /RR"
67683,I sent you guys a dm. I seriously need cflarification in here,"Hi, help's arrived! We've just sent you a bit more info over DM. We'll carry on helping out there /LS"
472539,"What is happening to ? The web player keeps freezing the browser, errors on search, can't play songs and refreshing doesn't help...","Hey there. What operating system and browser are you using? If you try to log out > restart your device > log back in, does that help? /AY"
620402,I just went to pay for premium using PayPal and the page bugged out. Don't wanna attempt again in case I get charged twice. Any help?,"Hey Yazmin, we're here to help! Could you DM us your account's username and email address? We'll take a look backstage for you /BX"
