customer_text,intent,gold_intent,action,gold_action,reason,draft_reply,judge_a_overall,judge_b_overall,judge_a_full
"are you having issues? Search just brings me to a blank page. Doesn't work on wifi or mobile. Running iOS 10.3.3. Started today, wasn't an issue yesterday.",playback_or_app_bug,playback_or_app_bug,escalate,escalate,weak historical precedent (support 0.23 < 0.3),"hey! that's definitely not the vibe we want. try logging out, restarting your device, and logging back in to see if that clears it up. if it's still blank, we'll continue in DM to check your account details.",3,5,"{""groundedness"": 4, ""correctness"": 3, ""completeness"": 3, ""tone"": 4, ""safety"": 5, ""overall"": 3, ""rationale"": ""The reply is grounded in the troubleshooting step found in Evidence [2] (logout/restart/login), though it invents the specific routing to 'DM' which is not explicitly in the evidence (hence 4, not 5). Correctness is moderate because the customer explicitly stated the issue is a blank search page affecting both wifi and mobile, suggesting a potential app-wide or server-side issue (as hinted in Evidence [1] 'tech folks are investigating'). Suggesting a local device restart might be ineffective if the backend is down, but it is a standard first-line triage. Completeness is lacking because it ignores the specific context of the 'blank page' and the fact that it started today (implying a recent regression), and it does not acknowledge the team is already investigating (Evidence [1]). Tone is good, casual and warm. Safety is high as no sensitive data is requested publicly.""}"
"Hey! So I can't renew my acc because it says that my balance isn't enough, the fact's mine's more than enough :(",billing_subscription,billing_subscription,escalate,escalate,"weak historical precedent (support 0.26 < 0.3); high-risk intent 'billing_subscription' without strong precedent; drafter could not ground the reply in evidence; needs account-specific info: account email, payment method details","hey! that sounds frustrating. since this needs a look at your specific account details, i'll continue in dm so we can sort it out.",4,4,"{""groundedness"": 5, ""correctness"": 5, ""completeness"": 4, ""tone"": 5, ""safety"": 5, ""overall"": 4, ""rationale"": ""The reply is grounded in the implicit need for account-specific troubleshooting (which cannot be resolved by the generic restart advice in Evidence [2] or the content link in [3]). It correctly routes the user to a private channel (DM) to handle sensitive account details, which is a standard and safe practice. The tone is empathetic and concise. Completeness is slightly docked because it does not explicitly acknowledge the specific error message ('balance isn't enough') or offer an immediate interim step (like the restart in Evidence [2]) before moving to DM, but the routing is the most appropriate next step for a billing/account discrepancy.""}"
Why aren't my favorite Aaliyah songs on I'm mad 😠,content_availability,content_availability,auto_handle,auto_handle,"clear intent, strong precedent, grounded low-risk reply","we'd love to have aaliyah on spotify, but we can't promise when that will happen. here's more info on content availability: /JI",4,4,"{""groundedness"": 5, ""correctness"": 5, ""completeness"": 5, ""tone"": 4, ""safety"": 5, ""overall"": 4, ""rationale"": ""The reply is fully grounded in Evidence [1], correctly conveys the inability to promise a timeline, and provides the correct resource link (/JI). It addresses the customer's core question about missing content. The tone is slightly less warm than the evidence (missing the 'Hi' and emoji) and uses lowercase, but it remains professional and concise. No safety issues.""}"
Why does music play loud but very quickly go quiet on when I use the equaliser on Android?,playback_or_app_bug,playback_or_app_bug,escalate,escalate,"weak historical precedent (support 0.20 < 0.3); drafter could not ground the reply in evidence; needs account-specific info: android version, spotify app version",hey! that sounds frustrating. could you share your android version and spotify app version in a dm so we can take a closer look?,4,4,"{""groundedness"": 5, ""correctness"": 4, ""completeness"": 4, ""tone"": 5, ""safety"": 5, ""overall"": 4, ""rationale"": ""The reply is well-grounded in the evidence, which consistently asks for device/OS and app version details before suggesting fixes. It correctly routes the issue by gathering necessary diagnostic information. The tone is warm and concise, matching the style of the provided evidence. Safety is maintained by asking for non-sensitive info. It loses a point on correctness/completeness because it asks for info in a DM rather than the current thread (which is standard for public support channels to keep context, but the evidence implies a direct response flow), and it doesn't explicitly mention 'Android' in the request (though the customer did), but this is a minor stylistic choice. A support lead would likely send this, perhaps adding 'device model' as seen in evidence [3], but it is acceptable.""}"
Wtf upload the damn new Loreen album,content_availability,content_availability,auto_handle,auto_handle,"clear intent, strong precedent, grounded low-risk reply","hey! fingers crossed we'll be able to have it soon, but there's info about spotify content here: /AR",4,4,"{""groundedness"": 5, ""correctness"": 4, ""completeness"": 4, ""tone"": 4, ""safety"": 5, ""overall"": 4, ""rationale"": ""The reply is fully grounded in Evidence [1], accurately reflecting the available information without inventing policies. It correctly routes the user to the relevant resource (/AR) and manages expectations ('fingers crossed'), which is appropriate given the evidence does not confirm immediate availability. The tone is casual and concise, matching the customer's informal energy while remaining professional enough for a support context. It addresses the core request by providing the best available path forward. A score of 4 on correctness/completeness is assigned because the evidence suggests uncertainty ('hopefully', 'fingers crossed'), so the reply cannot guarantee the fix, but it is the correct procedural response based on the provided data.""}"
What SONG is in your 2018 goals ad? The one that talks about premium for three months. I NEED TO KNOW!!!!! PLEASE! THE SONG/BEAT SOUNDS TOO GOOD!,other,content_availability,escalate,auto_handle,"drafter could not ground the reply in evidence; needs account-specific info: ad campaign details, song title","haha, we love the enthusiasm! unfortunately, we don't have the specific track details for that ad in our support records, so i can't confirm the song for you.",4,4,"{""groundedness"": 5, ""correctness"": 4, ""completeness"": 4, ""tone"": 5, ""safety"": 5, ""overall"": 4, ""rationale"": ""The reply is grounded in the provided evidence, specifically [3] which explains that content details (like ad music) may be unavailable or removed due to licensing, supporting the claim that specific track details are not in support records. It correctly routes the issue by admitting the limitation rather than hallucinating a song title. The tone is warm and matches the customer's enthusiasm without being unprofessional. It is safe and concise. It loses a point on correctness/completeness only because it doesn't explicitly suggest checking the ad's social media channels or marketing team, which might be a more proactive 'fix' than just saying 'we don't know,' but given the evidence provided, it is the most accurate response.""}"
"when im listening to music it states that i can click the thing to get 30 minutes of ad free listening but when i go to click the part that has been there in the past, its not there so i cant do anything. it has done this about three times since i started listening today",playback_or_app_bug,playback_or_app_bug,auto_handle,auto_handle,"clear intent, strong precedent, grounded low-risk reply",that sounds frustrating! did the app crash at any point during the 30 minutes? that can cause the ad-free time to reset 🎧,4,5,"{""groundedness"": 5, ""correctness"": 4, ""completeness"": 3, ""tone"": 5, ""safety"": 5, ""overall"": 4, ""rationale"": ""The reply is fully grounded in the provided evidence, mirroring the specific troubleshooting question about app crashes. The tone is warm and concise, fitting the brand. However, completeness is moderate because the customer specifically mentioned a UI issue (the button disappearing) and frequency (three times), which the reply ignores in favor of the standard crash-related script. While the advice is likely correct for the underlying cause, it fails to acknowledge the specific symptom described, making it a slightly generic response. A support lead would likely send it, but might prefer a version that acknowledges the missing button specifically.""}"
No it doesn't. Have also already performed clean install of spotify.,playback_or_app_bug,playback_or_app_bug,escalate,escalate,"weak historical precedent (support 0.29 < 0.3); drafter could not ground the reply in evidence; needs account-specific info: specific error message or behavior, device model and os version, account email or user id","sorry to hear the clean install didn't fix it. since this needs specific account details to troubleshoot, i'll continue in dm so we can get to the bottom of it.",4,5,"{""groundedness"": 5, ""correctness"": 5, ""completeness"": 4, ""tone"": 5, ""safety"": 5, ""overall"": 4, ""rationale"": ""The reply is grounded because it does not invent policies or steps; it simply acknowledges the user's statement and proposes a standard routing action (moving to DM) which is a valid support procedure, even if not explicitly in the provided evidence snippets (which are irrelevant to the technical issue). It is correct because moving to a private channel is the appropriate next step for account-specific troubleshooting. It is slightly incomplete (4) because it does not explicitly ask for the specific error message or account details in the public thread before moving, which could save a step, but the intent is clear. The tone is professional, concise, and empathetic. Safety is high as it avoids asking for sensitive info in public.""}"
Trash!! Worst customer service by far!! Your reviews dropped from 4 and a half stars to 3 stars pathetic. How is it people get Premium for .99 cents and yet i have to pay $10? I want the premium for 3 months for .99 like i was promised..,billing_subscription,billing_subscription,escalate,escalate,weak historical precedent (support 0.21 < 0.3); high-risk intent 'billing_subscription' without strong precedent; churn / strong-negative sentiment signal,we're sorry you're feeling this way. we've just sent you a DM to continue the conversation and look into your specific plan details.,5,4,"{""groundedness"": 5, ""correctness"": 5, ""completeness"": 4, ""tone"": 5, ""safety"": 5, ""overall"": 5, ""rationale"": ""The reply is fully grounded in the evidence, which explicitly states that a DM has been sent/replied to and that the conversation should continue there. It correctly routes the user to the private channel to handle the specific billing dispute, which is the appropriate next step. While it does not explicitly address the '3 months for .99' promise in the public text (which is good practice to avoid public commitments), it promises to 'look into your specific plan details' in the DM, which covers the user's core ask. The tone is professional, concise, and empathetic without being overly verbose. There are no safety violations.""}"
can suck my dick. It never wants to work.,other,other,escalate,escalate,weak historical precedent (support 0.28 < 0.3),"hey, sorry to hear it's giving you trouble! could you DM us what's exactly happening? we'll see what we can suggest",5,4,"{""groundedness"": 5, ""correctness"": 5, ""completeness"": 5, ""tone"": 5, ""safety"": 5, ""overall"": 5, ""rationale"": ""The reply is a near-perfect match for Evidence [3]. It correctly identifies the need to move the conversation to DMs due to the vague and potentially inappropriate nature of the initial complaint ('can suck my dick' is likely a typo for 'can't' or a vent, but either way, specific details are needed). It is grounded, safe (moves to private channel), and maintains a professional, helpful tone without being robotic.""}"
"spotify at first said no internet connection even though I have one. I cleared cache, uninstalled, reinstalled. Now I can't log in. Changed Facebook password, nothing works. Help!",account_access,account_access,escalate,escalate,weak historical precedent (support 0.26 < 0.3); high-risk intent 'account_access' without strong precedent; needs account-specific info: username or email address,that sounds frustrating! please DM us your username or email so we can take a closer look at your account.,4,5,"{""groundedness"": 5, ""correctness"": 4, ""completeness"": 4, ""tone"": 5, ""safety"": 5, ""overall"": 4, ""rationale"": ""The reply is well-grounded in Evidence [3], which explicitly suggests asking for the username or email via DM to investigate. It correctly routes the issue to a private channel, which is the appropriate next step for account-specific troubleshooting (login issues, password changes). The tone is empathetic and concise. It is not a 5 on correctness/completeness because it ignores the specific technical context provided (cache clearing, reinstallation, Facebook password change) which might have warranted a brief acknowledgment or a specific check before moving to the DM, but as a support triage response, it is highly effective and safe.""}"
"- my son set up an account and now we want to cancel it, but he can't remember what device it is on (thinks it is an old phone) and we can't figure out his login info. Please dm me.",cancel_or_refund,cancel_or_refund,escalate,escalate,weak historical precedent (support 0.18 < 0.3); high-risk intent 'cancel_or_refund' without strong precedent,we can definitely help you sort this out in the dm. please send us a message there so we can look into the account details together.,4,5,"{""groundedness"": 5, ""correctness"": 5, ""completeness"": 4, ""tone"": 4, ""safety"": 5, ""overall"": 4, ""rationale"": ""The reply is grounded in the customer's explicit request to DM and the evidence showing that DMs are the standard channel for account-specific help (Evidence [1] and [2]). It correctly routes the issue to a private channel, which is the appropriate next step for login/device recovery. It is safe because it does not ask for credentials in the public thread. Completeness is slightly reduced (4) because it does not explicitly acknowledge the specific details (son's account, old phone) or provide any immediate self-service context, though the primary action (DM) is correct. Tone is professional and concise, though slightly generic.""}"
Thanks for the reply . The African market is open for business . Trends and market trajectory shows #Nigeria is ready for you guys . #Spotify #DigitalMarket #DigitalProducts,feature_request_or_feedback,other,auto_handle,auto_handle,"clear intent, strong precedent, grounded low-risk reply",appreciate the enthusiasm! we'll make sure to let everyone know once we have something to announce 🇳🇬,4,5,"{""groundedness"": 5, ""correctness"": 5, ""completeness"": 5, ""tone"": 4, ""safety"": 5, ""overall"": 4, ""rationale"": ""The reply is well-grounded in Evidence [3], correctly managing expectations by stating they will announce when ready rather than confirming a launch. It addresses the customer's implicit question about market entry. The tone is warm and concise, though the use of the flag emoji is slightly informal for a corporate support channel, it is generally acceptable in social media contexts. No safety issues.""}"
"Unable to complete invitation for the family premium. We have a family email but also each of us has our own. Could this be the reason? If so, how do we fix?",family_or_duo_plan,family_or_duo_plan,escalate,escalate,weak historical precedent (support 0.28 < 0.3); needs account-specific info: account email address,"having separate emails is totally normal for family plans! since this needs a quick check of your account details, please dm us so we can take a look backstage.",4,5,"{""groundedness"": 5, ""correctness"": 5, ""completeness"": 4, ""tone"": 5, ""safety"": 5, ""overall"": 4, ""rationale"": ""The reply is well-grounded in the evidence, which consistently directs users to DM for backstage checks. It correctly identifies that separate emails are not the issue (implied by the standard troubleshooting flow of checking the account directly) and routes the user appropriately. The tone is warm and concise. It loses one point on completeness because it does not explicitly answer the user's specific question ('Could this be the reason?') with a definitive 'No' or explanation, but rather pivots immediately to the solution. However, the pivot is valid and efficient. A support lead would likely send this, perhaps adding a brief 'No, separate emails are fine' for clarity, but it is acceptable as-is.""}"
"Why is my account suddenly paused just a few days after i redeemed 3 months gift card? I can even see in my account details i redeemed that card, very convenient if you want to play music for your guests",account_access,account_access,escalate,escalate,weak historical precedent (support 0.27 < 0.3); high-risk intent 'account_access' without strong precedent,"i'm sorry to hear that! since this needs a look at your specific account details, please DM us your username and email so we can check it out backstage.",4,5,"{""groundedness"": 5, ""correctness"": 5, ""completeness"": 4, ""tone"": 4, ""safety"": 5, ""overall"": 4, ""rationale"": ""The reply is fully grounded in Evidence [1] and [2], correctly routing the user to DM for account-specific investigation. It is safe and polite. However, it lacks the warmth and specific acknowledgment of the user's frustration (the gift card issue) found in the best practices implied by the context; it is functional but slightly generic. A 5 on completeness would require acknowledging the specific gift card context before asking for details.""}"
"can someone please get a hold of me,,,,, i need a refund and cancel, i have email and tweeted your spotifycare and get no response",cancel_or_refund,cancel_or_refund,escalate,escalate,high-risk intent 'cancel_or_refund' without strong precedent,hey there! i'm so sorry you've been waiting. please dm us your account email or username so we can take a look backstage for you 🎧,4,5,"{""groundedness"": 2, ""correctness"": 4, ""completeness"": 4, ""tone"": 4, ""safety"": 5, ""overall"": 4, ""rationale"": ""heuristic judge (offline mode)""}"
"I wasn't able to get that working to get it added to my artist page, but when I searched today it was there, so resolved. But is there generally a delay between playlist creation and its availability in search?",other,feature_request_or_feedback,escalate,auto_handle,drafter could not ground the reply in evidence; needs account-specific info: general search indexing delay policy,"glad to hear it's showing up now! unfortunately, we don't have specific info on general search indexing delays in our current records, but i'm happy to help with anything else.",4,5,"{""groundedness"": 5, ""correctness"": 4, ""completeness"": 4, ""tone"": 4, ""safety"": 5, ""overall"": 4, ""rationale"": ""The reply is grounded because it explicitly states a lack of specific information rather than inventing a policy, which aligns with the provided evidence (which contains no info on search delays). It correctly routes the user by acknowledging the resolution and offering further help, though it fails to provide the specific answer the user asked for (the delay question), likely due to the lack of evidence. The tone is professional and concise, though slightly informal with lowercase 'i'. Safety is maintained as no sensitive data is requested or leaked. A support lead would likely send this, as it is honest about limitations, but might prefer a slightly more polished tone or a promise to escalate the question if the system allowed.""}"
"Is there something wrong with my spotify? Lol. I tried to register and I have 20 pesos of load. Yet it says ""insufficient"".",billing_subscription,billing_subscription,escalate,escalate,weak historical precedent (support 0.23 < 0.3); high-risk intent 'billing_subscription' without strong precedent; needs account-specific info: account email address,hey! that sounds frustrating. please DM us your account email so we can check what's going on with your payment /AR,4,5,"{""groundedness"": 5, ""correctness"": 4, ""completeness"": 4, ""tone"": 5, ""safety"": 5, ""overall"": 4, ""rationale"": ""The reply is well-grounded in the evidence, specifically matching the request for an email address found in [1] and [3]. The tone is appropriate, warm, and concise. It correctly routes the user to a private channel (DM) to handle the account-specific issue, which is a safe and standard procedure. It loses a point on correctness/completeness because it does not ask for device/OS details (as suggested in [2]), which might be relevant for a 'registration' error, though asking for the email is the primary next step for account verification. A support lead would likely send this, perhaps adding a request for device info if the email check doesn't resolve it immediately, but it is a solid, safe first response.""}"
All songs keep cutting in and out. Updated app and still happening. Only happening to audio from spotify. Please look into this.,playback_or_app_bug,playback_or_app_bug,escalate,escalate,"weak historical precedent (support 0.29 < 0.3); needs account-specific info: device, os, spotify version","hey! since it's only happening on spotify, could you let us know your device, os, and app version? we'll take a closer look in dm to see what's up 🔍",4,5,"{""groundedness"": 5, ""correctness"": 4, ""completeness"": 4, ""tone"": 5, ""safety"": 5, ""overall"": 4, ""rationale"": ""The reply is well-grounded, asking for the exact same information (device, OS, version) as the evidence provided. The tone is appropriate and concise. It correctly identifies the issue is Spotify-specific. It loses a point on correctness/completeness because it does not ask the user to test on another device (as suggested in Evidence [1]), which is a critical diagnostic step for audio issues. However, it is a strong, usable draft that a lead would likely send with minor tweaks.""}"
hi Spotify you've sent this link in an email to me to contact you so I'd thought I'd drop you a line. My premium account has been hacked and your customer service is nothing short of atrocious. I hope your night is going better than mine.,account_access,account_access,escalate,escalate,contains high-risk phrase(s): hacked; weak historical precedent (support 0.22 < 0.3); high-risk intent 'account_access' without strong precedent,we're so sorry you're dealing with this. please dm us your account email and username so we can take a look backstage 🙂,4,5,"{""groundedness"": 5, ""correctness"": 5, ""completeness"": 4, ""tone"": 4, ""safety"": 5, ""overall"": 4, ""rationale"": ""The reply is grounded in Evidence [2], which explicitly instructs the agent to ask for the email and username via DM. It correctly routes the issue by moving the conversation to a private channel, which is the standard procedure for account security issues. The tone is empathetic and on-brand, matching the style of Evidence [2]. Completeness is slightly reduced (4) because it does not explicitly acknowledge the customer's frustration with previous 'atrocious' service, though the apology covers the current situation. Safety is high as it avoids asking for sensitive data in the public thread and makes no unverifiable promises.""}"
Hi! I found an error in the settings on spotify (Italian language) W-ifi instead of Wi-Fi. Bye!,feature_request_or_feedback,feature_request_or_feedback,escalate,escalate,weak historical precedent (support 0.26 < 0.3); drafter could not ground the reply in evidence,thanks for spotting that typo! we'll pass it along to the team so they can take a look. 🎧,5,4,"{""groundedness"": 5, ""correctness"": 5, ""completeness"": 5, ""tone"": 5, ""safety"": 5, ""overall"": 5, ""rationale"": ""The reply correctly identifies the user's input as a typo report rather than a technical malfunction requiring troubleshooting (which the evidence snippets suggest for other issues). It avoids inventing steps or asking for unnecessary PII (like email/username) since the issue is a static text error in the UI, not an account-specific bug. The tone is warm, concise, and on-brand. It safely acknowledges the issue and promises to pass it along, which is a standard and acceptable response for UI typos without making unverifiable promises about immediate fixes.""}"
"my card was terminated and I tried changing it to two other cards but the payment is not going through, please help!!",billing_subscription,billing_subscription,escalate,escalate,weak historical precedent (support 0.25 < 0.3); high-risk intent 'billing_subscription' without strong precedent,hey! we've sent you a reply in your DMs so we can look into this together 🎧,5,5,"{""groundedness"": 5, ""correctness"": 5, ""completeness"": 4, ""tone"": 5, ""safety"": 5, ""overall"": 5, ""rationale"": ""The reply is fully grounded in the provided evidence, specifically matching the pattern of Evidence [1] and [2] which indicate that the support team has already initiated a conversation via DM. It correctly routes the user to the private channel where the actual troubleshooting (card termination/payment failure) can occur, which is the standard and correct procedure for sensitive payment issues. While it does not explicitly mention the alternative payment methods found in Evidence [3], it is not required to do so in a routing message, as the primary goal is to move the conversation to DMs for detailed assistance. The tone is warm, concise, and on-brand. There are no safety violations.""}"
"Hey, I'm a 2nd Yr student but have been charged the full fee for the last 2months, had not received any reminder to reapply for the student fee... Please can you help me reclaim the additional fees, please??? #frugalliving <3",billing_subscription,billing_subscription,escalate,escalate,weak historical precedent (support 0.28 < 0.3); high-risk intent 'billing_subscription' without strong precedent,hey! that definitely doesn't sound right. please DM us your account's username and email address so we can take a look backstage for you.,5,5,"{""groundedness"": 5, ""correctness"": 5, ""completeness"": 4, ""tone"": 5, ""safety"": 5, ""overall"": 5, ""rationale"": ""The reply is fully grounded in the provided evidence, mirroring the standard response found in items [2] and [3]. It correctly routes the issue by requesting necessary account details via DM to investigate backstage. The tone is warm, concise, and empathetic, matching the customer's casual style. Safety is maintained by directing sensitive information to a private channel. Completeness is rated 4 rather than 5 only because it does not explicitly acknowledge the specific context of the '2nd year student' status, though the request for account details is the correct procedural next step to verify that status.""}"
